"100 YEARS OF STAFFORD CONFERENCE"				
				
	"Thursday September 17th"			
				
"09.00 – 09.30"	"Reception"			
"09.30 – 09.45"	"Conference Opening  - A Espinosa, J Walker, A Leonard"			
"09.45 - 10.15"	"Launching 100 Years Festschrift: A Espinosa, M Schwaninger, J.P. Rios"			
"10.15-11.00"	"Stafford Beer  - A Holistic Character  |  Allenna Leonard / Vanilla Beer / A Espinosa"			
"11.00 - 11.30"	"Coffee "			
	"Room A
(2a) Emerging Methods and Tools"	"Room B
(3a) Toward Resilient, and Ethical Viable Systems"	"Room C
(4a) Cybernetics for All -  Barefoot Cybernetics"	"Room D
(5a) Stafford Beer in Latin America"
"11.30 - 12.15"	"Markus Schwaninger
CyberSystemic Tools for Organizational Advancement."	"Angela Espinosa
Managing Organisational and Societal Complexity for a Fairer and More Sustainable New World"	"Stephen Harwood
CYBERNETICS FOR ALL (#Cybernetics4All)"	"Leonardo Lavanderos & Diego Cerda-Seguel
Measuring Organizational Viability Beyond Structure: The CO4 and Biovariety Framework"
"12.15  - 13.00"	"Martin Pfiffner
From Theory to Practice.		"	"Constantin Malik
Designing Freedom. Still. And again "	"Marc-André Pigeon
Beer’s Pedagogy: Lessons from the Concordia University Lectures"	"Alejandro Fernandez
OpenSoma: A Decolonial Cybernetic Agent A Working System in the Line of Descent from Project Cybersyn"
"13.00 - 14.00"	"Lunch"			
"14.00 - 14.45"	"John Beckford
Viability: A Way of Being "	"Amar KJR Nayak
Ecosystemic Transdisciplinary Action Research: An AIESS-Based Methodology for  Regenerative Organisational Cybernetics"		"John Byrne
Useful Art as a Toolkit for Cybernetic Change: A Viable Systems Model for a Better World Today"
"14.45  - 15.30"	"Clive Holtham
Learning about management education from Stafford Beer "	"Angus Jenkinson
Ecocybernetics and the Living Foundations of Beer's Viable System Model "	"Tom Chan
Midlife Chrysalis: from ‘good Chinese boy’ and economics to Stafford Beer-aholics                                                          "	"José dos Santos Cabral Filho & Ana Paula Baltazar dos Santos
Architecture for Freedom: Syntegrity as an Educational Practice"
"15.30 - 16.00"	"Coffee "			
"16.00 - 17.00"	"Andreas Slogar
“The Journey of LaCoCa - A Crew Sets Sail!” - Gamification Makes the VSM an Experience - No Theory Required"	" Katharine N. Farrell, Jon Walker, Ed van der Winden & (posthumously) Brian Lederer
Don't shoot the cat
(workshop)"	"Thomas A.J. Biedermann
Gameful Experiences for Hopeful Futures: CyberNations (workshop)"	"Juliana Mariano-Alves
Transparency as a Trigger for Change: Repercussions of the Viable System Model (VSM) Application on Water Governance in the Tocantins-Araguaia Hydrographic Region"
"17.00 - 17.45"	"Louis Klein (IFSR)"	"Michael Ben Eli"	"Andrew Pickering
Ponds, politics and the east: Stafford Beer's cybernetics—a wider view."	"CYBERSYN video (Palmarola et al)"
