				
				
				
	"Saturday September 19th"			
	"Room A
Organisational Systems
(VSM, CST, etc.)"	"Room B
(3) Innovations in VSM theory"	"Room C 
(3b) Toward Resilient, and Ethical Viable Systems"	"Room D
(2d) Innovations in VSM Practice"
				
"09.00 – 09.15"	"Reception"			
"09.15 - 10.00"	"Mike Jackson
Elevating Stafford Beer’s Legacy: A Critical Systems Thinking Perspective on the Viable System Model"	"Jan de Visch
The Art of Boundary-Making: Deepening the VSM through Cognitive-Developmental Science"	"Lien Peeters & Benny Corvers
Rethinking Organisational Networks: Practical Insights from Applying the Viable System Model in Real World Ecosystems"	"Ayham Fattoum
When Viable Systems Fail: Explaining the Gap Between Diagnosis and Practice (workshop)"
"10.00 - 10.45"	"Gary Evans, Petter Øgland & Jens Kaasbøll
Reclaiming Emancipation in Critical Systems Thinking: Using the Double Viable System Model to Identify the Central Game"	"Steve Brewis
Languaging an Adaptive Organisation into Existence"	"Taja Macek & Tadeja Jere Jakulin
Toward viability: applying the Viable System Model to the cruise shorescape"	"Pedro Pablo Cardoso
Designing Viable Identity in Institutional Transitions: A VSM Reconstruction of the Total Veteran Framework"
"10.45 - 11.30"	"Terence Love
Viable for Whom? Contested Identity in the VSM "	"Ivo Velitchkov
Autonomy and cohesion"	"Fabiana Sepe & Simone Luongo, Giovanna Del Gaudio, Mario Tani, Gianpaolo Basile
Toward resilient and ethical viable tourism systems: a cybernetic view on marginal areas digital transformation in Italy"	"Maurizio Tomasella
Charting the Boundaries of Accountability for Enhanced Airport Operational Resilience"
"11.30 - 12.00"	"Coffee "			
"12.00 - 12.45"	"Roelien Goede & Gary Smith
Foundations in Dialogue: Comparing VSM and CSH through Checkland’s FMA Framework
 "	"Marcus Barrick
Enactive Viable Agency: A Process-Relational Grammar for Operationalizing the Viable System Model"	"Chris & Penny Hamlin
From Building a Regime to Running It: A Participatory Viable System Model Diagnostic of a Regulator Entering Dual-Mode Operation"	"Sascha Kullak
Gamifying the VSM"
"12.45  - 13.30"	"Nour Abida
Can Stafford Beer Help Save Journalism? Applying the Viable System Model to Understand Resilience in Public Service Media"	"Camilo Osejo
Temporal Freedom in Viable Systems: A Genealogical Analysis of Human and Machine Time in Organisational Cybernetics"	"Jeremy Pryce
Beyond Viability: Ontological Foundations for Ethical and Regenerative Systems"	"Carola Ritzinger-Roll
From viability to measurability – Designing governance structures in highly complex and regulated organisational contexts"
"13.30 - 14.30"	"Lunch"			
"14.30 - 16.00"	"Krishan Mathis, Margeret Heath, Panos Panagiotis
Cybernetic Futures (workshop)"	"Jonathan Huxley
A full software implementation of Stafford Beer's Viable System Model (VSM) as a complete enterprise management system (workshop)"	"Robin Asby & Penny Marrington
Community Governance (workshop)"	
				
"16.00 - 16.30"	"Closing Remarks & Farewell"			
