							
							
							
session ID	Day	Start time	End time	Room	talk ID		
Sch1	2026-09-17	09:00	09:30		reception	Reception	
Sch2	2026-09-17	09:30	09:45		opening	Conference Opening  - A Espinosa, J Walker, A Leonard	
Sch3	2026-09-17	09:45	10:15		lunch	Launching 100 Years Festschrift: A Espinosa, M Schwaninger, J.P. Rios	
Sch4	2026-09-17	10:15	11:00		sbholistic	Stafford Beer - A Holistic Character  |  Allenna Leonard / Vanilla Beer / A Espinosa	
Sch5	2026-09-17	11:00	11:30		coffee	Coffee 	
Sch6	2026-09-17	11:30	12:25	Room A	talk50	CyberSystemic Tools for Organizational Advancement.	Markus Schwaninger
Sch7	2026-09-17	11:30	12:25	Room B	talk6	Managing Organisational and Societal Complexity for a Fairer and More Sustainable New World	Angela Spinose
Sch8	2026-09-17	11:30	12:25	Room C	talk67	Cybernetics For All (#Cybernetics4All)	Stephen Harwood
Sch9	2026-09-17	11:30	12:25	Room D	talk46	Measuring Organizational Viability Beyond Structure: The CO4 and Biovariety Framework	Leonardo Lavanderos & Diego Cerda-Seguel
Sch10	2026-09-17	12:25	13:00	Room A	talk51	From Theory to Practice.  	Martin Pfiffner 
Sch11	2026-09-17	12:25	13:00	Room B	talk18	Designing Freedom. Still. And again 	Constantin Malik 
Sch12	2026-09-17	12:25	13:00	Room C	talk47	Beer’s Pedagogy: Lessons from the Concordia University Lectures	Marc-André Pigeon
Sch13	2026-09-17	12:25	13:00	Room D	talk1	OpenSoma: A Decolonial Cybernetic Agent A Working System in the Line of Descent from Project Cybersyn	Alejandro Fernandez
Sch14	2026-09-17	13:00	14:00		lunch	Lunch	
Sch15	2026-09-17	14:00	14:45	Room A	talk34	Viability: A Way of Being 	John Beckford
Sch16	2026-09-17	14:00	14:45	Room B	talk3	Ecosystemic Transdisciplinary Action Research: An AIESS-Based Methodology for  Regenerative Organisational Cybernetics	Amar KJR Nayak
