sch1	2026-09-17	09:00	09:30		reception	Reception	
sch2	2026-09-17	09:30	09:45		opening	Conference Opening	A Espinosa, J Walker, A Leonard
sch3	2026-09-17	09:45	10:15		launch	Launching 100 Years Festschrift	A Espinosa, M Schwaninger, J.P. Rios
sch4	2026-09-17	10:15	11:00		sbholistic	Stafford Beer - A Holistic Character	Allenna Leonard / Vanilla Beer / A Espinosa
sch5	2026-09-17	11:00	11:30		coffee	Coffee 	
sch6	2026-09-17	11:30	12:25	Room A	talk50	CyberSystemic Tools for Organizational Advancement.	Markus Schwaninger
sch7	2026-09-17	11:30	12:25	Room B	talk6	Managing Organisational and Societal Complexity for a Fairer and More Sustainable New World	Angela Spinose
sch8	2026-09-17	11:30	12:25	Room C	talk67	Cybernetics For All (#Cybernetics4All)	Stephen Harwood
sch9	2026-09-17	11:30	12:25	Room D	talk46	Measuring Organizational Viability Beyond Structure: The CO4 and Biovariety Framework	Leonardo Lavanderos & Diego Cerda-Seguel
sch10	2026-09-17	12:25	13:00	Room A	talk51	From Theory to Practice.  	Martin Pfiffner 
sch11	2026-09-17	12:25	13:00	Room B	talk18	Designing Freedom. Still. And again 	Constantin Malik 
sch12	2026-09-17	12:25	13:00	Room C	talk47	Beer’s Pedagogy: Lessons from the Concordia University Lectures	Marc-André Pigeon
sch13	2026-09-17	12:25	13:00	Room D	talk1	OpenSoma: A Decolonial Cybernetic Agent A Working System in the Line of Descent from Project Cybersyn	Alejandro Fernandez
sch14	2026-09-17	13:00	14:00		lunch	Lunch	
sch15	2026-09-17	14:00	14:45	Room A	talk34	Viability: A Way of Being 	John Beckford
sch16	2026-09-17	14:00	14:45	Room B	talk3	Ecosystemic Transdisciplinary Action Research: An AIESS-Based Methodology for  Regenerative Organisational Cybernetics	Amar KJR Nayak
sch17	2026-09-17	14:00	14:45	Room D	talk35	Useful Art as a Toolkit for Cybernetic Change: A Viable Systems Model for a Better World Today	John Byrne
